transcript_id	miracidia	sporocyst_2d_invitro	sporocyst_1d_invivo	sporocyst_3d_invivo	sporocyst_shedder_invivo	cercariae	somule_3h	somule_24h	adult_m_21d	adult_f_21d	adult_m_28d	adult_f_28d	adult_m_38d	adult_f_38d
Smp_246610.3	0	0	0	0	0	12.1	0	0	0	0	0	0	0	0
Smp_246620.1	4.28	2.25	0.04	0	8.48	1.91	1.49	1.18	3.32	0.96	1.66	2.13	0	0
Smp_246620.2	24.29	18.07	0	20.71	0	8.79	0.06	11.72	0.23	0.03	0.22	0.09	0	0
Smp_246620.3	25.87	29.46	13.13	0	0	64.8	46.9	41.11	19.2	19.99	23.73	20.8	11.8	20.99
Smp_246630.1	0.67	1.37	1.1	3.78	3.03	4.36	10.79	2.42	0.51	1.09	1.54	2.03	0.56	2.97
Smp_246650.1	0.76	0.38	1.38	0.2	1.4	5.38	14.97	12.58	3.94	3.6	2.95	3	0.85	2.09
Smp_246660.1	1.62	0.33	2.37	1.8	3.37	4.23	8.16	5.85	0.29	0.17	0.24	0.18	0.56	0.21
Smp_246670.1	35.92	27.72	6.87	9.32	4.7	20.67	19.84	19.28	8.69	7.08	7.88	7.27	5.6	5.64
Smp_246680.1	23.79	28.25	25.87	10.72	16.8	30.49	30.47	50.99	12.96	13.13	16.95	16.31	19.66	15.64
Smp_246680.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smp_246680.3	0	0	0	0	0	0	0	0.77	0.39	0.23	0.13	0.19	0	0
Smp_246680.4	19.28	10.79	0.97	10.22	4.77	11.95	14.24	5.05	3.6	5.58	4.72	4.07	3.28	6.14
Smp_246690.1	1.02	2.98	13.26	7.18	13.88	3.52	2.22	6.57	6.49	8.33	10.07	12.58	6.65	15.02
Smp_246690.2	1.19	1.26	0	0	0	4.07	2.72	3.83	2.79	3.74	4.23	4.89	1.58	6.07
Smp_246700.1	37.19	30.96	9.73	10.27	9.57	35.6	60.5	41.71	24.08	23.44	22.23	23.81	10.01	21.31
Smp_246710.1	2.83	1.99	9.39	7.51	18.26	7.58	36.63	38.03	23.47	29.2	29.08	33.05	18.78	35.56
Smp_246770.1	0.28	0.2	0	3.67	0.83	0	0.86	0	2.13	0.4	78.52	13.59	382.42	0.02
Smp_246790.1	0	0	0	1.38	0.72	0	0.12	0.29	0.07	0.26	0.19	0.07	0.06	0.22
Smp_246790.2	0	0	0.67	0	0.21	2.73	0.25	0.25	0.09	0.03	0.16	0.03	0	0
Smp_246790.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smp_246790.4	0.48	6.42	0	1.66	0.45	3.73	2.21	0.64	0.61	0.58	0.28	0.37	0	0.15
Smp_246790.5	0.24	0.75	1.57	0	0.28	0	3.53	4.24	4.86	5.83	5.1	6.8	0.44	3.89
Smp_246790.6	1.06	13.62	0	3.85	5.38	3.73	0.95	0	15.26	21.05	19.44	24.82	7.12	24.97
Smp_246790.7	0.71	2.78	1.71	4.65	3.08	5.42	3.25	5.39	11.9	12.16	10.75	14.18	2.06	8.85
Smp_246800.1	5.99	8.34	5.69	13.56	5.01	7.72	22.04	34.88	32.41	35.47	32.82	31.62	17.02	36.48
Smp_246800.2	0.61	0.64	0	0	0	1.59	2.83	1.93	0.51	0.3	0.29	0.29	0	0.04
