transcript_id	miracidia	sporocyst_2d_invitro	sporocyst_1d_invivo	sporocyst_3d_invivo	sporocyst_shedder_invivo	cercariae	somule_3h	somule_24h	adult_m_21d	adult_f_21d	adult_m_28d	adult_f_28d	adult_m_38d	adult_f_38d
Smp_000020.1	87.56	102.99	32.03	37.31	25.58	62.14	70.36	58.25	48.89	46.27	43.3	44.97	27.19	41.47
Smp_000030.1	83.05	93.85	10.09	10.24	14.49	111.32	130.72	55.61	36.17	42.75	38.33	45.14	5.19	24.01
Smp_000030.2	583.13	732.22	104.22	125.63	80.91	129.58	100.8	118.53	114.86	108.26	105.3	98.36	119.13	101.45
Smp_000030.3	31.72	33.48	9.43	14.26	24.28	99.33	91.61	27.89	14.6	17.44	18.83	20.58	8.91	14.74
Smp_000040.1	130.5	108.24	54.5	60.4	74.75	78.71	133.94	137.18	110.07	113.16	134.55	142.69	109.83	153.79
Smp_000040.2	5.32	3.09	0.39	1.86	0.64	4.11	3.97	3.35	5.4	4.12	6.36	6.27	1.24	2.68
Smp_000050.1	0.97	0.38	3.79	7.74	2.03	0	0	1.86	0	0.56	0.48	0.52	2.17	0
Smp_000050.2	8.47	25.02	2.06	0.54	0.14	10.56	59.82	28.61	4.4	4.09	5.35	6.2	0.11	6.25
Smp_000070.1	252.78	371.8	190.55	145.56	170.22	69.39	48.94	48.01	64.22	55.91	73.71	65.8	125.71	63.16
Smp_000075.1	0	0	0	0	0	0	0.15	0.05	0.23	0.03	0.02	0	0	0
Smp_000080.1	0	0.11	0	0	0	1.45	7.35	4.04	0.77	0.97	0.78	1.27	2.25	15.26
Smp_000100.1	30.88	59.12	15.46	16.88	24.77	153.3	107.66	26.9	35.96	41.34	66.34	77.74	22.53	72.3
Smp_000100.2	1.12	0.11	0	0	0	3.32	0.41	0.35	5.12	4.57	2.82	2.1	0.12	1.44
Smp_000100.3	18.43	29.75	0	0	2.11	130.08	54.23	8.72	23.39	27.56	23.48	29.58	2.56	16.4
Smp_000100.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smp_000100.5	2.64	3.84	1.82	0	0	5.43	7.84	4.22	10.83	12.1	5.06	5.26	0.39	4.79
Smp_000100.6	6.42	15.12	1.18	0	0.36	1.79	1.05	0.45	1.37	1.17	0.94	0.89	0.5	0.66
Smp_000110.1	22.09	26.13	9.99	11.64	9.41	24.99	24.78	19.63	10.64	10.36	11.42	9.09	13.85	7.04
Smp_000130.1	22.8	40.36	35.02	29.67	19.04	43.48	84.74	44.71	25.67	27.84	36.79	41.41	11.7	41.82
Smp_000150.1	169.83	95.62	26.57	34.62	34.35	117.93	147.18	45.95	49.96	49.05	48.19	50.39	55.16	49.15
Smp_000160.1	1.9	3.46	5.55	1.59	8.3	1.93	5.16	17.92	16.23	16.18	10.42	11.32	3.9	12.28
Smp_000180.1	0.67	0.29	1.52	0.87	8.38	0.15	0.25	0.61	11.27	25.48	17.37	28.18	1.49	32.59
Smp_000190.1	19.95	35.48	28.49	31.75	17.7	10.3	19.29	37.1	101.16	50.9	142.96	114.74	213.6	115.13
Smp_000200.1	18.15	14.14	26.27	35.1	16.99	26.42	41.7	15.13	19.57	22.46	27.6	29.04	20.16	24.03
Smp_000230.1	34.71	21.01	12.72	11.2	8.75	33.79	38.26	23.19	12.03	12.02	11.54	11.54	9.66	13.79
Smp_000240.1	2031.49	2620.51	334.04	503.78	274.94	358.04	286.35	365.14	372.76	310.49	320.22	298.45	438.31	276.57
Smp_000250.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smp_000260.1	241.04	237.9	305.47	221.24	206.5	338.01	329.23	378.31	511.1	510.45	766.88	813.1	527.72	865.75
Smp_000270.1	0.11	0.04	0	1.79	0	1.38	0.07	0.23	0.19	0.26	72.62	15.06	623.46	3.48
Smp_000280.1	0.11	0	0	0	0	0.21	0.26	0	0.28	0.45	454.01	101.6	3969.57	16.19
Smp_000300.1	0	0	3.7	1.81	0.17	0.15	0	0	0.27	0.37	0.23	0.18	0	0.3
Smp_000300.2	0.52	0.44	0	0	5.62	3.43	2.72	3.74	17.99	17.13	15.75	17.56	6.52	13.24
Smp_000310.1	77.88	65.98	16.2	7.67	10.45	50.83	41.37	24.19	16.44	14.58	13.46	12.69	9.89	10.45
Smp_000310.2	120.91	65.1	83.18	81.23	89.22	41.35	75.31	69.16	49.59	54.95	77.43	78.14	159.27	91.6
Smp_000310.3	2.87	2.36	15.45	5.1	21.08	15.14	16.04	6.23	7.84	7.55	5.3	7.48	6.77	6.48
Smp_000320.1	26.13	10.06	15.14	6.29	54.01	46.84	10.68	19.85	64.27	63.37	75.95	84.44	29.54	85.64
Smp_000340.1	25.07	17.68	13.45	17.44	5.5	2.41	3.55	1.24	1.12	1.13	2.64	1.68	4.07	1.13
Smp_000370.1	46.72	45.46	7.38	6.07	16.67	9.95	16.66	11.91	9.1	14.86	11.26	13.09	18.8	15.51
Smp_000390.1	0	0	0	0	0	0	0	0	0	0	148.19	31.94	1460.33	4.68
Smp_000420.1	0.22	0	0	0	0.33	0.15	0.11	0	0.38	0.82	723.42	151.7	4471.98	23.12
Smp_000430.1	0	0	0	0	0	0.17	0.13	0	0.51	0.99	1418.05	285.96	11796.77	45.65
Smp_000470.1	13.66	7.94	6.83	0	7.63	3.13	21.04	7.21	3.24	2.97	2.56	1.65	3.58	2.42
Smp_000470.2	68.48	61.08	48.14	52.76	100.82	20.14	22.61	22.72	62.28	62.33	56.64	60.73	71.67	66.69
Smp_000470.3	11.15	4.97	16.89	4.02	17.28	13	11.84	7.68	9.6	7.46	7.45	6.99	7.25	6.34
Smp_000480.1	85.81	82.6	36.17	32.06	8.08	9.87	23.19	28.43	22.43	24.77	26.95	26.47	34.33	26.44
Smp_000480.2	53.81	86.61	117.09	120.58	87.19	46.44	53.18	83.89	80.63	84.29	81.46	72.13	105.25	58.9
Smp_000500.1	0.13	0	43.96	0	431.86	2.3	1.61	0	0.57	0.13	1.2	0.15	15.34	0.1
Smp_000510.1	12.94	14.45	22.84	27.14	63.14	16.37	14.24	25.06	38.25	39.81	34.55	37.72	28.66	35.78
Smp_000560.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smp_000580.1	1.66	0.66	1.95	2.22	11.35	2.71	0.63	3.24	9.91	9.46	9.27	9.7	5.99	10.34
Smp_000590.1	155.9	146.57	157.19	159.26	140.06	102.99	111.81	72.72	107.57	113.44	99.92	102.24	143.05	109.59
Smp_000600.1	199.64	159.96	79.11	95.05	30.31	73.33	71.65	57.65	34.32	30.13	35.28	28.36	55.33	24.86
Smp_000600.2	16.96	9.47	0	0	4.18	1.19	0.83	9.15	5.89	6.32	4.95	4.32	13.96	6.69
Smp_000620.1	0.45	0.13	0	0	2.18	2.35	14.73	8.57	0.83	0.98	0.24	0.32	0.21	0.79
Smp_000630.1	8.34	4.28	26.91	18.09	27.62	6.04	18.26	10.54	10.76	11.14	10.93	11.88	9.48	10.7
Smp_000640.1	168.71	155.48	51.49	78.12	79.32	94.61	77.39	35.3	44.49	45.07	50.27	51.33	81.9	53.68
Smp_000650.1	77.58	34.45	14.83	18.37	21.08	35.26	59.28	34.02	19.8	21.62	18.1	18.42	15.55	24.55
Smp_000650.2	0.22	0.07	4.86	0	4.77	2.04	12.33	9.34	4.68	3.93	2.56	2.41	1.87	3.17
Smp_000650.3	8.99	3.42	0	2.58	0.98	19.62	11.03	6.97	3.06	3.38	2.24	3.09	0.24	2.01
Smp_000660.1	85.88	96.67	93.61	38.64	37.24	464.7	276.14	169.31	298.55	436.06	529.6	621.45	649.44	584.36
Smp_000670.1	27.21	21.82	26.57	22.05	18.73	44.92	55.15	67.33	41.57	47.42	57.7	63.12	32.48	64.33
Smp_000680.1	16.1	22.73	7.81	5.1	13.09	40.8	52.97	78.91	48.82	42.75	42.41	43.29	53.66	42.03
Smp_000690.1	0.48	0.26	2.08	2.38	1.81	0.42	3.38	0.77	0.47	0.37	0.97	0.95	1.09	0.28
Smp_000700.1	6.31	8.3	25.41	21.09	17.51	11.94	28.63	22.09	33.43	40.11	43.01	49.82	28.05	52.91
Smp_000710.1	86.07	88.53	50.97	51.09	64.01	65.97	81.34	75.15	58.82	61.12	51.57	55.31	80.67	77.45
Smp_000720.1	192.68	124.21	36.45	48.17	22.17	87.1	107.83	84.31	44.92	39.04	41.07	36.11	34.53	35.91
Smp_000740.1	1287.84	1046.27	256.92	349.79	209.97	523.43	388.19	251.86	321.54	305.69	352.29	360.58	473.42	370.28
Smp_000755.1	2.9	6.51	7.77	5.92	15.82	85.96	160.76	108.15	64.8	56.53	72.17	77.31	51.16	85.84
Smp_000770.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smp_000790.1	2.03	1.66	0	0	7.55	17.86	5.02	3.97	5.82	5.26	8.83	9.48	2.93	6.36
Smp_000790.2	4.67	2.89	7.58	8.14	6.99	21.49	18.59	14.27	8.34	8.88	10.06	9.14	6.87	7.84
Smp_000810.1	15.97	21.58	18.22	13.68	27.52	10.44	11.65	18.88	25.87	25.62	20.39	19.41	46.3	21.65
Smp_000820.1	18.28	13.02	25.49	13.23	142.93	333.7	462.75	335.01	250.05	413.64	493.56	653.53	298.44	729.28
Smp_000820.2	0.93	0	0	0	6.55	28.92	31.55	2.58	5.62	14.21	16.73	25.09	7.4	29.34
Smp_000830.1	0.13	0.04	0.42	0.48	0.45	0.37	2.62	3.17	0.72	0.97	0.38	0.46	0.08	0.39
Smp_000850.1	365.73	503.43	73.11	85.86	62.83	35.48	51.48	57.15	67.92	79.97	103.73	103.62	185.63	141.29
Smp_000870.1	13.7	5.38	6.69	23.65	0	13.02	10.44	2.73	2.29	1.75	1.83	1.67	0.56	2.11
Smp_000870.2	8.8	1.61	0	0	0	2.41	11.26	1.41	0.94	2.21	0.24	0.52	0.23	0.7
Smp_000870.3	0.28	3.84	7.55	0.42	13.26	7.25	10.54	5.21	3.08	5.68	4.99	5.3	3.41	10.55
Smp_000870.4	23.58	18.78	11.83	0	3.84	11.93	2.4	1.64	2.35	2.18	4.32	6.66	2.09	2.62
Smp_000880.1	3529.32	4093.76	2831.22	3667.84	4522.23	1167.8	426.81	565.99	1348.98	1359.66	1399.15	1368.72	2528.42	1141.87
Smp_000900.1	3.74	5.45	17.96	7.34	7.72	2.76	6.65	6.72	13.23	6.22	14.04	9.24	5.83	13.56
Smp_000910.1	0.61	0.2	3.11	1.19	2.72	3.71	0.56	0.65	4.89	4.88	4.31	5.12	1.79	3.81
Smp_000950.1	0.86	0.51	2.84	0.54	6.33	1.08	3.94	4.32	1.25	1.16	7.68	2.09	21.03	0.69
Smp_000980.1	672.66	626.1	417.79	358.87	504.04	373.81	298.79	152.22	238.02	213.99	157.51	154.29	232.22	185.37
Smp_000990.1	60.75	29.48	28.68	34.8	28.58	69.02	89.92	64.45	27.71	28.75	29.02	31.1	23.85	29.57
Smp_001000.1	5.23	2.23	52.27	138.13	65.91	9.53	107.26	103.71	55.89	86.27	61.52	78.44	26.43	70.47
Smp_001020.1	10.05	28.02	14.96	16.44	12.5	22.47	14.21	9.5	9.73	10.52	10.98	10.96	11.79	12.36
Smp_001030.1	12.32	10.88	13.54	14.24	13.9	15.13	11.24	11.25	18.04	19.05	16.09	18.3	12.24	19.7
Smp_001040.1	66.78	97.67	59.49	43.8	53.45	82.57	136.33	188.82	173.46	209.8	213.88	246.87	96.96	236.46
Smp_001070.1	0.48	0.35	0	1.8	1.03	1.81	13.03	13.93	4.33	6.7	5.42	6.33	0.61	7.64
Smp_001080.1	457.86	54.42	37.49	49.97	118.65	189.68	72.84	27.41	120.92	120.28	118.52	132.71	94.31	128.64
Smp_001090.1	27.01	39.12	38.74	46.83	27.91	29.64	39.78	40.79	27.82	25.7	23.46	21.05	21.6	17.29
Smp_001095.1	13.31	16.93	11.64	20.31	11.78	7.19	12.84	17.29	11.21	11.03	10.36	10.25	9.25	10.09
Smp_001095.2	13.31	16.93	11.64	20.31	11.78	7.19	12.84	17.29	11.21	11.03	10.36	10.25	9.25	10.09
Smp_001100.1	0.65	12.38	5.38	2.56	28.75	14.08	7.13	3.68	137.27	165.46	177.73	190.02	57.94	148.57
Smp_001120.1	14.8	13.88	38.38	70.66	62.01	22.39	27.43	36.06	45.84	54.32	35.18	38.9	60.69	46.3
Smp_001160.1	0.52	0.11	4.56	1.95	5.22	3.75	0.62	1.66	6.89	7.09	7.38	8.32	5.28	7.18
Smp_001170.1	127.78	301.3	78.96	143.83	59.39	78.01	36.35	1.86	10.85	3.86	16.84	15.35	6.01	4.05
Smp_001170.2	197.93	41.35	41.24	15.95	10.97	44.19	80.92	125.3	71.97	76.35	77.51	64.57	120.8	60.77
Smp_001180.1	25.18	37.4	13.61	19.86	9.67	41.95	44.22	56.2	18.02	16.16	15.79	15.9	9.29	13.42
Smp_001210.1	6.35	7.33	19.81	13.72	0	1.19	0.47	4.43	3.34	2.39	4.51	2.86	7.12	1.48
Smp_001210.2	2.85	5.05	0.09	0	6.14	1.44	2.55	2.36	6.55	4.59	3.38	3.11	2.87	3.14
Smp_001360.1	167.54	194.54	546.12	628.74	404.14	276.6	202.46	296.34	359.6	384.09	383.08	387.51	601.4	382.74
Smp_001390.1	5.12	7.83	11.57	7.94	5.91	14.78	25.53	28.09	19.85	20.23	17.32	18.48	7.6	16.58
Smp_001410.1	48.62	54.35	48.09	28.02	22.66	13.31	11.95	31.01	35.72	21.97	75.38	66.08	215.27	105.33
Smp_001420.1	7.67	12.09	15.59	18.73	17.72	40.77	36.3	45.01	25.51	31	33.42	36.34	18.54	38.57
Smp_001420.2	29.58	40.89	0	4.12	5.39	7.94	10.32	3.72	2.36	2.45	1.51	1.76	0.64	0.99
Smp_001500.1	1165.87	1337.33	186.54	300.28	194.84	168.55	119.59	87.35	163	158.23	161.37	149.5	319.3	154.17
Smp_001530.1	55.37	37.49	16.68	17.47	24.99	34.9	43.22	49.1	44.73	40.73	47.86	49.41	33.76	49.26
Smp_001560.1	1.43	2.8	2.68	5.51	6.31	4.07	2.3	2.53	11.9	11.97	12.26	12.95	6.31	13.83
Smp_001590.1	33.15	53.05	58.86	79.49	70.4	36.62	49.9	44.51	50.75	50.06	50.11	48.78	103.93	52.76
Smp_001610.1	8.08	5.72	17.78	19.59	24.39	18.48	5.05	7.99	29.88	27.63	22.94	27.4	22.73	27.82
Smp_001640.1	181.59	138.58	127.54	114.35	171.33	95.75	73.68	21.76	114.14	125.41	126.38	135.45	242.08	166.67
Smp_001780.1	0	0	0	0	0.57	0	0.35	2.81	2.51	2.62	1.98	1.9	2.11	1.63
Smp_001780.2	0.02	0.09	2.8	5.88	1.11	0	0	2.93	3.3	2.54	2.16	1.58	1.9	2.05
Smp_001780.3	0.54	0.07	0	0	4.37	1.27	1.12	4.25	20.09	21.1	19.77	23.61	8.01	15.65
Smp_001830.1	3706.29	3963.25	1294.11	1405.46	1078.35	427.59	249.9	78.37	314.37	310.43	327.69	269.13	961.63	244.25
Smp_001830.2	477.05	569.94	188.2	220.22	147.81	59.1	26.16	31.03	20.29	22.93	20.57	18.48	52.71	16.68
Smp_001890.1	0	0	16.72	0	357.5	0.1	0.37	0.24	0	0	0	0	0	0
Smp_001900.1	0.19	0.09	3.95	1.9	1.69	0.38	2.1	2.5	2.03	1.1	0.89	0.52	0.9	0.25
Smp_001940.1	11.22	7.83	18.52	14.11	24.39	48.66	33.79	24.89	30.88	31.88	34.63	35.12	43.33	47.11
Smp_001940.2	0.06	0	0	0	0	0	0	0	0.06	0.04	0	0.04	0	0
Smp_001950.1	8.9	9.16	40.55	20.52	65.91	30.2	120.21	110.13	65.17	87.76	77.3	96.75	40.66	114.19
Smp_001960.1	29.97	32.92	32.34	31.27	38.21	43.2	45.95	28.23	26.43	25.14	25.21	25.23	29.96	22.94
Smp_001960.2	0	0	0	0	0	3.74	8.01	0.71	0.3	0.08	0.48	0.46	1.14	0.23
Smp_001980.1	0.52	0.07	0	0	0.54	4.38	3.32	3.49	2.42	3.08	0.82	1.22	0.27	1.12
Smp_002010.1	184.29	254.54	133.21	239.52	73.82	37.2	30.79	39.18	36.52	40.41	36.25	30.65	101.63	30.51
Smp_002060.1	0	0	0	0	191.65	0.16	1.39	0.05	0.26	0.12	0.63	0.78	1.32	1.13
Smp_002070.1	0	0	5.56	0	492.88	0.33	0.77	0.22	0	0	0.75	0.27	2.46	0.06
Smp_002080.1	1781.98	1186.48	283.45	452.5	229.35	156.4	119.81	166.67	151.17	134.81	152.45	124.26	332.71	109.34
Smp_002100.1	8.6	7.44	25.68	26.18	34.67	10.22	23.61	21.71	71.49	107.06	144.46	201	101.59	278.65
Smp_002160.1	101.16	54.26	19.79	32.89	21.18	40.76	74.62	37.71	29.1	26.6	26	24.05	28.11	25.42
Smp_002180.1	844.12	1013.39	799.97	933.89	663.7	344.85	216.22	129.97	229.03	233.85	247.98	227.94	560.85	222.44
Smp_002230.1	220.86	164.75	45.32	31.98	15.3	109.29	82.56	60.89	37.18	39.29	37.9	25.53	56.48	27.32
Smp_002280.1	100.75	144.27	45.51	46.03	30.19	41.98	71.83	103.98	73.24	70.29	72.92	76.06	49.57	77.16
Smp_002380.1	97.03	98.06	53.88	38.36	42.23	42.11	45.67	75.63	53.29	68.77	76.31	84.62	101.07	118.75
Smp_002410.1	390.82	751.42	568.29	578.93	378.46	108.74	78.98	99.42	257.18	269.76	239.21	240.21	359.37	214.59
Smp_002510.1	283.03	381.07	143.46	102.34	171.75	617.32	68.52	70.51	99.54	88.87	95.3	87.77	116.32	71.84
Smp_002550.1	430.56	408.87	301.54	436.45	276.28	218.04	142.97	67.78	105.58	106.62	110.16	105.06	248.53	108.09
Smp_002600.1	21.98	22.04	16.97	13.64	18.29	31	26.83	18.63	141.28	57.19	228.82	171.86	470.22	220.48
Smp_002600.2	0.5	0.64	10.43	9.87	14.53	1.12	5.65	5.29	32.71	23.29	62.24	48.58	236.42	63.78
Smp_002630.1	379.22	31.38	13.7	9.85	5.76	0.06	0	0	0	0	0	0	0	0
Smp_002640.1	2.2	3.55	6.23	3.28	18.03	75.57	4.92	2.94	7.79	9.49	8.66	12.08	1.09	8.72
Smp_002740.1	903.89	434.56	228.65	236.55	198.55	207.03	85.88	73.2	107.14	103.57	117.32	112.48	191.21	105.18
Smp_002820.1	452.95	417.22	40.48	42.83	39.77	317.62	229.83	103.91	59.29	45.44	60.42	52.03	50.48	46.93
Smp_002840.1	15.34	27.98	13	12.75	15.73	23.83	28.43	22.49	20.22	17.61	17.38	16.91	23.18	17.97
Smp_002840.2	15.34	27.98	13	12.75	15.73	23.83	28.43	22.49	20.22	17.61	17.38	16.91	23.18	17.97
Smp_002840.3	0	0	0	0	0	0.44	0.12	0.13	0.09	0	0	0	0	0
Smp_002860.1	0	0.11	0	0	0	0	0	0	0.07	0	0	0	0	0
Smp_002870.1	167.89	167.88	29.81	58.55	29.68	40.29	62.74	37.26	37.56	36.31	45.7	40.31	65.16	45.78
Smp_002880.1	1143.51	2384.73	603.55	707.81	680.65	202.93	178.04	141.56	623.51	598.27	625.52	605.92	788.2	500.66
Smp_002920.1	19.06	32.35	50.05	52.88	58.95	147.73	135.52	73.01	14.11	19.2	21.22	27.2	14.08	42.16
Smp_002950.1	4.11	7.66	20.11	19.7	25.08	8.78	5.73	2.08	19.13	16.83	14.22	12.12	23.64	10.92
Smp_003000.1	20.51	21.29	27.28	24.05	26.29	23.88	36.79	32.55	26.19	28.63	26.65	24.36	51.74	37.07
Smp_003130.1	25.95	19.51	65.69	53.63	74.69	24.66	37.65	20.88	33.56	35.84	37.44	37.81	46.21	43
Smp_003140.1	2.83	4.33	0.64	3.79	2.82	9.6	13.43	4.86	4.66	3.97	5.27	5.64	1.78	3.06
Smp_003140.2	35.74	67.59	41.96	54.9	33.04	37.3	56.72	60.01	48.71	49.49	62.65	64.87	52.98	72.29
Smp_003190.1	1.23	0.57	1.75	6.01	7.75	5.92	0.41	0.55	8.03	6.44	7.28	6.91	8.56	8.61
Smp_003230.1	1.02	5.89	42.27	6.23	42.79	11.84	6.97	5.48	168.75	246.38	188.71	239.68	50.54	215.86
Smp_003230.2	0	0.6	0	0	2.9	0	0.09	0.47	17.61	20.34	19.54	20.08	4.78	18.33
Smp_003250.1	235.68	278.7	70.54	72.53	127.31	93.25	53.43	39.05	57.29	56.33	58.3	56.3	116.59	64.95
Smp_003250.2	45.49	29.35	0	0	0	2.6	10.15	0	1.94	1.87	4.14	1.9	1.56	1.67
Smp_003270.1	26.58	7.11	10.87	12.43	23.95	135.82	194.38	60.74	17.28	20.7	13.39	11.84	15.43	18.28
Smp_003280.1	22	26.44	7.41	11.07	1.72	0.18	0.33	2.03	0.89	0.67	0.76	0.42	1.96	0.36
Smp_003300.1	0	0	0	0	188.14	0.16	0.17	0.06	0	0.02	0.02	0	0	0
Smp_003330.1	6.35	1.59	16.48	17.48	18.94	3.34	1.27	1.8	11.83	11.92	12.61	12.9	18.87	11.43
Smp_003340.1	29.97	44.99	39.16	40.27	26.11	32.66	52.97	59.37	40.62	36.32	43.52	37.94	57.47	36.04
Smp_003410.1	8667.53	10625.54	3047.14	4509.18	2536.01	1007.98	640.38	997.35	890.06	835.37	1004.15	824.51	2984.57	764.08
Smp_003410.2	4.54	8.16	0.64	1.46	2.01	12.08	5.98	3.29	2.65	2.33	3.14	3.22	2.2	2.23
Smp_003440.1	4.54	5.56	14.55	8.68	28.8	1.24	1.4	6.81	53.51	73.3	50.11	66.11	13.24	72.51
Smp_003600.1	157	82.07	92.17	153.7	63.27	0.3	1.31	1.54	3.2	3.15	2.54	2.87	0.68	4.56
Smp_003610.1	488.72	162.01	134.81	140.2	80.48	1.65	10.37	11.87	84.46	114.14	111.1	137.95	102.32	163.88
Smp_003620.1	20.49	63.42	32.19	34.92	26.3	16.2	25.28	51.56	45.71	47.5	46.95	54.13	39.6	55.14
Smp_003620.2	0.35	0.2	0	0	0.17	0.62	0.53	0.95	2.05	1.17	2.36	1.7	0.14	0.79
Smp_003630.1	443.05	366.04	118.13	137.71	107.87	131.14	128.93	112.7	99.36	92.58	87.93	78.74	132.07	80.25
Smp_003660.1	931.57	1437.8	399.11	441.78	303.05	129.24	95.76	96.35	169.21	150.49	154.57	136.9	229.53	110.8
Smp_003660.2	444.46	556.74	188.53	97.69	303.52	396.95	216.3	123.17	108.26	93.29	70.82	72.28	99.21	84.64
Smp_003670.1	17.55	22.77	60.67	47.66	29.22	33.42	45.09	29.58	48.61	47.92	46.18	49.86	40.42	57.01
Smp_003700.1	308.16	228.3	225.62	201.99	249.19	106.52	68.94	77.47	124.4	121.81	115.37	113.15	238.95	113.53
Smp_003710.1	202.75	205.99	137.43	141.62	224.23	742.37	429.55	190.55	267.7	267.4	300.83	324.05	274.17	334.27
Smp_003760.1	6.59	1.61	1.09	0.63	2	3.52	7.98	0.84	1.47	1	1.47	1.18	2.03	1.51
Smp_003760.2	6.59	1.61	1.09	0.63	2	3.52	7.98	0.84	1.47	1	1.47	1.18	2.03	1.51
Smp_003770.1	2473.53	818.52	1014.88	1532.49	2036.97	6916.94	839.71	358.65	717.99	532.4	464.61	429.75	642.97	435.69
Smp_003860.1	135.76	86.85	80.91	115.57	95.15	30.48	34.77	42.6	68.08	70.94	59.95	63.79	93.99	76.16
Smp_003900.1	0.04	0	0	0.32	1.1	1.18	5.75	4.86	3.68	5.23	1.79	2.27	1.59	4.09
Smp_003930.1	6.87	6.11	3.89	2.23	4.46	6.49	1.79	2.32	8.54	8.1	6.55	6.91	5.34	9.01
Smp_003940.1	11.93	9.25	24	30.58	19.93	2.07	15.55	16.58	16.08	12.59	14.01	13.96	23.33	15.39
Smp_003940.2	1.19	1.19	1.18	2.67	3.32	13.33	10.13	6.16	4.34	4.31	3.47	3.41	2.67	3.23
Smp_003940.3	5.64	5.23	7.91	1.93	1.63	14.33	6.6	3.35	3.15	2.99	3.23	3.11	1.47	2.87
Smp_003970.1	2665.04	3821.74	1511.98	1819.51	896.63	196.96	201.64	274.28	254.61	240.93	293.61	212.24	852.69	188.96
Smp_003980.1	200.67	66.95	66.12	53.5	34.11	134.77	91.18	34.51	42.48	43.73	45.8	48.91	45.67	55.27
Smp_003990.1	124.78	43.45	57.36	72.69	154.58	795.01	178.05	103.34	162.74	214.15	214.9	254.69	178.18	265.35
Smp_004000.1	9.12	16.24	23.9	32.78	13.37	5.42	2.38	2.43	4.21	4.71	4.76	4.44	13.68	3.79
Smp_004000.2	1.34	1.74	0	4.72	5.93	3.42	4.8	0.71	1.84	1.87	1.66	1.39	4.19	2
Smp_004060.1	253.83	251.69	63.16	123.38	50.5	15.5	8.85	5.18	25.47	16.26	14.88	9.43	31.66	4.25
Smp_004070.1	37.93	10.22	10.78	14.26	5.44	23.25	8.72	5.22	5.92	6.16	4.98	6.09	2.26	9.63
Smp_004070.2	4.24	1.96	0	0.9	0.2	2.17	0.85	0.33	0	0	0.34	0	0	0
Smp_004070.3	0.06	0	0	0	0	0	0	0	0.44	0.37	0.34	0.61	0.05	0.31
Smp_004080.1	43.48	110.91	61.59	62.92	47.51	9.27	11.41	16.33	33.01	30.69	28.95	26.76	42.91	22.81
Smp_004160.1	3.13	3.93	14.26	4.45	13.86	3.43	1.14	0.89	11.4	8.76	10.35	10.39	8.59	10.63
Smp_004170.1	7.22	4.83	49.24	35.8	42.93	21.69	38.34	43.98	44.66	45.44	47.4	45.12	71.58	46.04
Smp_004190.1	26.26	20.99	30.38	19.83	52.11	117.02	73.97	54.44	69.78	66.33	74.03	76.53	67.32	73.11
Smp_004200.1	11.89	11.28	38.23	31.96	42.11	19.24	49.71	63.69	38.23	43.18	53.67	48.65	95.92	59.89
Smp_004220.1	400.39	364.68	46.69	63.39	28.85	147.81	82.91	86.57	71.11	71.69	94.22	85.34	127.41	81.15
Smp_004260.1	52.92	91.14	47.79	32.77	40.68	25	23.32	25.01	40.74	37.88	29.72	30.89	44.15	37.89
Smp_004310.1	2060.23	1177.77	446.98	435.04	485.27	809.04	974.04	815.46	609.8	595.48	711.09	708.29	1242	765.72
Smp_004350.1	17.42	27.91	129.07	108.62	121.84	45.39	95.01	67.66	147.18	171.41	162.8	186.41	170.76	197.29
Smp_004360.1	176.25	253.59	53.89	50.04	78.74	73.67	37.26	26.35	57.17	58.17	49.79	54.56	95.88	63.58
Smp_004420.1	0	0	0	0	0	0	0	0.23	6.39	1.98	7.48	4.39	28.48	4.71
Smp_004420.2	0	0	0	0	0	0.66	1.23	0.88	19.49	7.11	26.99	11.89	103.11	12.51
Smp_004420.3	0	0	0	0	0.16	0.18	0.12	0.32	2.92	0.74	2.76	3.08	13.76	1.7
Smp_004420.4	0	0	0	0	0	0	0.56	1.51	6.89	3.2	7.41	4.07	14.38	4.51
Smp_004440.1	0.32	0.02	0	0.89	4.26	4.62	1.59	5.11	8.8	8.8	8.19	10.7	3.2	10.81
Smp_004470.1	306.28	305.4	155.36	183.35	193.09	198.63	73.42	54.21	195.81	182.61	195.89	203.16	286.35	196.32
Smp_004480.1	216.9	255.16	94.54	86.4	92.21	125.41	85.42	102.22	87.23	69.91	78.83	69.34	70.84	72.61
Smp_004480.2	7.3	4.99	12.67	12.01	24.31	19.55	23.45	20.26	9.68	8.75	10.65	11.08	21.23	12.15
Smp_004550.1	131.28	161.62	89.57	110.01	136.79	147.28	33.95	16.38	81.77	75.49	82.88	84.63	133.84	83.82
Smp_004590.1	18.8	33.7	19.88	26.09	25.95	13.96	22	18.58	12.99	13.78	14.64	13.46	9.48	12.22
Smp_004600.1	1819.26	2778.87	478.58	676.95	280.35	218.89	217.33	300.32	338.81	304.14	302.23	257.93	490.82	250.46
Smp_004630.1	5.79	11.92	37.68	40.8	29.73	38.46	30.43	24.45	15.38	13.3	19.21	14.87	40.33	14.74
